date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:45:37	9276/9276	---M--	200	added ('OK')	application/javascript	date:Thu,%2003%20Jan%202019%2005:38:47%20GMT	https://homesolutionslondon.co.uk/assets/js/theme.js	C:/Users/zuburz/Desktop/abdul/homesolutionslondon.co.uk/homesolutionslondon.co.uk/assets/js/theme.js	(from https://homesolutionslondon.co.uk/)
10:45:37	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2003%20Jan%202019%2005:38:36%20GMT	https://homesolutionslondon.co.uk/assets/fonts/glyphicons-halflings-regular.eot	C:/Users/zuburz/Desktop/abdul/homesolutionslondon.co.uk/homesolutionslondon.co.uk/assets/fonts/glyphicons-halflings-regular.eot	(from https://homesolutionslondon.co.uk/assets/css/bootstrap.min.css)
10:45:38	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2003%20Jan%202019%2005:38:40%20GMT	https://homesolutionslondon.co.uk/assets/fonts/glyphicons-halflings-regulard41d.eot?	C:/Users/zuburz/Desktop/abdul/homesolutionslondon.co.uk/homesolutionslondon.co.uk/assets/fonts/glyphicons-halflings-regulard41dd41d.eot	(from https://homesolutionslondon.co.uk/assets/css/bootstrap.min.css)
10:45:38	18028/18028	---M--	200	added ('OK')	font/woff2	date:Thu,%2003%20Jan%202019%2005:38:39%20GMT	https://homesolutionslondon.co.uk/assets/fonts/glyphicons-halflings-regular.woff2	C:/Users/zuburz/Desktop/abdul/homesolutionslondon.co.uk/homesolutionslondon.co.uk/assets/fonts/glyphicons-halflings-regular.woff2	(from https://homesolutionslondon.co.uk/assets/css/bootstrap.min.css)
10:45:38	23424/23424	---M--	200	added ('OK')	font/woff	date:Thu,%2003%20Jan%202019%2005:38:39%20GMT	https://homesolutionslondon.co.uk/assets/fonts/glyphicons-halflings-regular.woff	C:/Users/zuburz/Desktop/abdul/homesolutionslondon.co.uk/homesolutionslondon.co.uk/assets/fonts/glyphicons-halflings-regular.woff	(from https://homesolutionslondon.co.uk/assets/css/bootstrap.min.css)
10:45:39	45404/45404	---M--	200	added ('OK')	font/ttf	date:Thu,%2003%20Jan%202019%2005:38:37%20GMT	https://homesolutionslondon.co.uk/assets/fonts/glyphicons-halflings-regular.ttf	C:/Users/zuburz/Desktop/abdul/homesolutionslondon.co.uk/homesolutionslondon.co.uk/assets/fonts/glyphicons-halflings-regular.ttf	(from https://homesolutionslondon.co.uk/assets/css/bootstrap.min.css)
10:45:40	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2003%20Jan%202019%2005:38:31%20GMT	https://homesolutionslondon.co.uk/assets/fonts/fontawesome-webfont3295.eot?v=4.5.0	C:/Users/zuburz/Desktop/abdul/homesolutionslondon.co.uk/homesolutionslondon.co.uk/assets/fonts/fontawesome-webfont32953295.eot	(from https://homesolutionslondon.co.uk/assets/css/font-awesome.min.css)
10:45:40	108738/108738	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2003%20Jan%202019%2005:38:38%20GMT	https://homesolutionslondon.co.uk/assets/fonts/glyphicons-halflings-regular.svg	C:/Users/zuburz/Desktop/abdul/homesolutionslondon.co.uk/homesolutionslondon.co.uk/assets/fonts/glyphicons-halflings-regular.svg	(from https://homesolutionslondon.co.uk/assets/css/bootstrap.min.css)
10:45:42	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2003%20Jan%202019%2005:38:35%20GMT	https://homesolutionslondon.co.uk/assets/fonts/fontawesome-webfontd41d.eot?	C:/Users/zuburz/Desktop/abdul/homesolutionslondon.co.uk/homesolutionslondon.co.uk/assets/fonts/fontawesome-webfontd41dd41d.eot	(from https://homesolutionslondon.co.uk/assets/css/font-awesome.min.css)
10:45:42	66624/66624	---M--	200	added ('OK')	font/woff2	date:Thu,%2003%20Jan%202019%2005:38:34%20GMT	https://homesolutionslondon.co.uk/assets/fonts/fontawesome-webfont3295.woff2?v=4.5.0	C:/Users/zuburz/Desktop/abdul/homesolutionslondon.co.uk/homesolutionslondon.co.uk/assets/fonts/fontawesome-webfont32953295.woff2	(from https://homesolutionslondon.co.uk/assets/css/font-awesome.min.css)
10:45:42	83588/83588	---M--	200	added ('OK')	font/woff	date:Thu,%2003%20Jan%202019%2005:38:34%20GMT	https://homesolutionslondon.co.uk/assets/fonts/fontawesome-webfont3295.woff?v=4.5.0	C:/Users/zuburz/Desktop/abdul/homesolutionslondon.co.uk/homesolutionslondon.co.uk/assets/fonts/fontawesome-webfont32953295.woff	(from https://homesolutionslondon.co.uk/assets/css/font-awesome.min.css)
10:45:43	142072/142072	---M--	200	added ('OK')	font/ttf	date:Thu,%2003%20Jan%202019%2005:38:33%20GMT	https://homesolutionslondon.co.uk/assets/fonts/fontawesome-webfont3295.ttf?v=4.5.0	C:/Users/zuburz/Desktop/abdul/homesolutionslondon.co.uk/homesolutionslondon.co.uk/assets/fonts/fontawesome-webfont32953295.ttf	(from https://homesolutionslondon.co.uk/assets/css/font-awesome.min.css)
10:45:43	369/369	---M--	200	added ('OK')	text/html	date:Thu,%2003%20Jan%202019%2005:38:52%20GMT	https://homesolutionslondon.co.uk/assets/css/fonts/Stroke-Gap-Icons.html	C:/Users/zuburz/Desktop/abdul/homesolutionslondon.co.uk/homesolutionslondon.co.uk/assets/css/fonts/Stroke-Gap-Icons.html	(from https://homesolutionslondon.co.uk/assets/css/strock-icon.css)
10:45:43	378/378	---M--	200	added ('OK')	text/html	date:Thu,%2003%20Jan%202019%2005:39:33%20GMT	https://homesolutionslondon.co.uk/assets/vendors/owl.carousel/owl.video.play.html	C:/Users/zuburz/Desktop/abdul/homesolutionslondon.co.uk/homesolutionslondon.co.uk/assets/vendors/owl.carousel/owl.video.play.html	(from https://homesolutionslondon.co.uk/assets/vendors/owl.carousel/owl.carousel.css)
10:45:44	365616/365616	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2003%20Jan%202019%2005:38:32%20GMT	https://homesolutionslondon.co.uk/assets/fonts/fontawesome-webfont3295.svg?v=4.5.0	C:/Users/zuburz/Desktop/abdul/homesolutionslondon.co.uk/homesolutionslondon.co.uk/assets/fonts/fontawesome-webfont32953295.svg	(from https://homesolutionslondon.co.uk/assets/css/font-awesome.min.css)
10:45:44	173479/173479	---M--	200	added ('OK')	image/jpeg	date:Thu,%2003%20Jan%202019%2005:39:04%20GMT	https://homesolutionslondon.co.uk/assets/images/web-img/boiler-repair-london.jpg	C:/Users/zuburz/Desktop/abdul/homesolutionslondon.co.uk/homesolutionslondon.co.uk/assets/images/web-img/boiler-repair-london.jpg	(from https://homesolutionslondon.co.uk/assets/css/style.css)
10:45:45	89756/89756	---M--	200	added ('OK')	image/jpeg	date:Thu,%2003%20Jan%202019%2005:39:09%20GMT	https://homesolutionslondon.co.uk/assets/images/web-img/boiler-service-london.jpg	C:/Users/zuburz/Desktop/abdul/homesolutionslondon.co.uk/homesolutionslondon.co.uk/assets/images/web-img/boiler-service-london.jpg	(from https://homesolutionslondon.co.uk/assets/css/style.css)
10:45:45	89817/89817	---M--	200	added ('OK')	image/jpeg	date:Thu,%2003%20Jan%202019%2005:38:54%20GMT	https://homesolutionslondon.co.uk/assets/images/web-img/best-boiler-repair-earlscourt.jpg	C:/Users/zuburz/Desktop/abdul/homesolutionslondon.co.uk/homesolutionslondon.co.uk/assets/images/web-img/best-boiler-repair-earlscourt.jpg	(from https://homesolutionslondon.co.uk/assets/css/style.css)
10:45:45	277697/277697	---M--	200	added ('OK')	image/jpeg	date:Thu,%2003%20Jan%202019%2005:39:03%20GMT	https://homesolutionslondon.co.uk/assets/images/web-img/boiler-repair-earlscourt.jpg	C:/Users/zuburz/Desktop/abdul/homesolutionslondon.co.uk/homesolutionslondon.co.uk/assets/images/web-img/boiler-repair-earlscourt.jpg	(from https://homesolutionslondon.co.uk/assets/css/style.css)
